ISCO;Title;green;index1
2143;Environmental engineers;1;(1.29)
2144;Mechanical engineers;0,97;2,38
2145;Chemical engineers;0,94;(2.9)
1323;Construction managers;0,86;-0,32
7111;House builders;0,86;NA
2114;Geologists and geophysicists;0,85;(-1.74)
2111;Physicists and astronomers;0,82;(4.5)
2146;Mining engineers, metallurgists and related professionals;0,78;NA
2162;Landscape architects;0,78;(3.15)
2161;Building architects;0,77;0,65
2149;Engineering professionals not elsewhere classified;0,74;0,84
1321;Manufacturing managers;0,71;-0,34
3123;Construction supervisors;0,71;0,37
7127;Air conditioning and refrigeration mechanics;0,71;(1.58)
7234;Bicycle and related repairers;0,71;(-1.13)
2151;Electrical engineers;0,7;0,44
2112;Meteorologists;0,68;NA
1311;Agricultural and forestry production managers;0,67;(2.85)
1312;Aquaculture and fisheries production managers;0,67;NA
1223;Research and development managers;0,66;(0.67)
3141;Life science technicians (excluding medical);0,64;(2.35)
7411;Building and related electricians;0,64;0,07
1113;Traditional chiefs and heads of villages;0,63;NA
2113;Chemists;0,62;1,94
3116;Chemical engineering technicians;0,62;(1.41)
2153;Telecommunications engineers;0,61;(1.31)
2141;Industrial and production engineers;0,6;(2.13)
211;Physical and earth science professionals;0,59;NA
3118;Draughtspersons;0,59;-0,83
1120;Managing directors and chief executives;0,57;2,59
3117;Mining and metallurgical technicians;0,57;NA
2422;Policy administration professionals;0,56;-1,68
3115;Mechanical engineering technicians;0,56;0,81
7541;Underwater divers;0,56;NA
3432;Interior designers and decorators;0,55;-0,68
7126;Plumbers and pipe fitters;0,55;-0,77
7232;Aircraft engine mechanics and repairers;0,55;(1.01)
7115;Carpenters and joiners;0,54;-0,33
2132;Farming, forestry and fisheries advisers;0,53;(0.28)
5411;Fire-fighters;0,53;(1.11)
1112;Senior government officials;0,52;1,62
1213;Policy and planning managers;0,52;3,27
1322;Mining managers;0,52;NA
1349;Professional services managers not elsewhere classified;0,52;(-2.54)
1439;Services managers not elsewhere classified;0,52;NA
2164;Town and traffic planners;0,52;(0.02)
2165;Cartographers and surveyors;0,52;(-0.27)
1420;Retail and wholesale trade managers;0,5;(-0.09)
5221;Shopkeepers;0,5;1,92
7113;Stonemasons, stone cutters, splitters and carvers;0,5;(-4.22)
7125;Glaziers;0,5;(-0.04)
3132;Incinerator and water treatment plant operators;0,49;(1.86)
7131;Painters and related workers;0,49;-1,89
9312;Civil engineering labourers;0,49;-3,22
3143;Forestry technicians;0,48;(1.83)
3323;Buyers;0,48;-0,27
7214;Structural-metal preparers and erectors;0,48;-1,53
2421;Management and organization analysts;0,47;3,16
2631;Economists;0,47;(5.66)
3113;Electrical engineering technicians;0,47;0,98
3114;Electronics engineering technicians;0,47;(0.42)
3155;Air traffic safety electronics technicians;0,47;NA
3522;Telecommunications engineering technicians;0,47;(0.2)
7114;Concrete placers, concrete finishers and related workers;0,47;(-0.52)
7213;Sheet-metal workers;0,47;0,06
3334;Real estate agents and property managers;0,46;0,37
7123;Plasterers;0,46;-4,95
7215;Riggers and cable splicers;0,46;(-4.05)
2131;Biologists, botanists, zoologists and related professionals;0,45;1,68
2434;Information and communications technology sales professionals;0,45;NA
7544;Fumigators and other pest and weed controllers;0,45;NA
1324;Supply, distribution and related managers;0,44;0,93
2163;Product and garment designers;0,44;(-1.04)
2433;Technical and medical sales professionals (excluding ICT);0,44;0,38
2633;Philosophers, historians and political scientists;0,43;(-1.33)
3339;Business services agents not elsewhere classified;0,43;(0.01)
1431;Sports, recreation and cultural centre managers;0,42;(-3.16)
8114;Cement, stone and other mineral products machine operators;0,42;(-6.45)
1346;Financial and insurance services branch managers;0,41;(0.49)
2120;Mathematicians, actuaries and statisticians;0,41;(2.16)
2412;Financial and investment advisers;0,4;0,83
2512;Software developers;0,4;1,07
3131;Power production plant operators;0,4;NA
8342;Earthmoving and related plant operators;0,4;(-2.55)
1114;Senior officials of special-interest organizations;0,39;(0.85)
3139;Process control technicians not elsewhere classified;0,39;NA
7122;Floor layers and tile setters;0,39;-0,94
2261;Dentists;0,38;1,26
7522;Cabinet-makers and related workers;0,38;-0,14
7542;Shotfirers and blasters;0,38;NA
9623;Meter readers and vending-machine collectors;0,38;NA
1219;Business services and administration managers not elsewhere classified;0,37;(0.77)
2519;Software and applications developers and analysts not elsewhere classified;0,37;NA
8182;Steam engine and boiler operators;0,37;NA
3111;Chemical and physical science technicians;0,36;0,21
3421;Athletes and sports players;0,36;(-1.89)
7112;Bricklayers and related workers;0,36;-1,76
7124;Insulation workers;0,36;(-2.74)
1330;Information and communications technology service managers;0,35;0,25
1411;Hotel managers;0,35;(1.14)
2529;Database and network professionals not elsewhere classified;0,35;(-0.01)
3134;Petroleum and natural gas refining plant operators;0,35;NA
315;Ship and aircraft controllers and technicians;0,34;NA
1221;Sales and marketing managers;0,34;0,96
1343;Aged care services managers;0,34;NA
2310;University and higher education teachers;0,34;1,5
2359;Teaching professionals not elsewhere classified;0,34;NA
2511;Systems analysts;0,34;2,42
2632;Sociologists, anthropologists and related professionals;0,34;(0.91)
2651;Visual artists;0,34;(1.39)
3332;Conference and event planners;0,34;(2.1)
3434;Chefs;0,34;1,42
6340;Subsistence fishers, hunters, trappers and gatherers;0,34;NA
9311;Mining and quarrying labourers;0,34;NA
9622;Odd job persons;0,34;NA
2267;Optometrists and ophthalmic opticians;0,33;NA
3315;Valuers and loss assessors;0,33;(-0.03)
7512;Bakers, pastry-cooks and confectionery makers;0,33;-1,8
8113;Well drillers and borers and related workers;0,33;NA
1211;Finance managers;0,32;1,18
2522;Systems administrators;0,32;(3.15)
3153;Aircraft pilots and related associate professionals;0,32;(-1.05)
3311;Securities and finance dealers and brokers;0,32;0,08
3322;Commercial sales representatives;0,32;0,36
3324;Trade brokers;0,32;-0,76
3514;Web technicians;0,32;NA
1345;Education managers;0,31;3,4
2351;Education methods specialists;0,31;(0.67)
2636;Religious professionals;0,31;4,12
3152;Ships' deck officers and pilots;0,31;(-7.71)
4323;Transport clerks;0,31;0,63
4419;Clerical support workers not elsewhere classified;0,31;NA
7314;Potters and related workers;0,31;(5.73)
8131;Chemical products plant and machine operators;0,31;(0.09)
8154;Bleaching, dyeing and fabric cleaning machine operators;0,31;(-1.22)
9129;Other cleaning workers;0,31;NA
2320;Vocational education teachers;0,3;0,77
7313;Jewellery and precious-metal workers;0,3;(0.24)
7513;Dairy-products makers;0,3;(-1.71)
8211;Mechanical machinery assemblers;0,3;(-0.92)
9216;Fishery and aquaculture labourers;0,3;NA
2413;Financial analysts;0,29;(-0.83)
8350;Ships' deck crews and related workers;0,29;NA
1412;Restaurant managers;0,28;-0,72
2411;Accountants;0,28;0,42
3142;Agricultural technicians;0,28;NA
3211;Medical imaging and therapeutic equipment technicians;0,28;1,55
8156;Shoemaking and related machine operators;0,28;NA
2264;Physiotherapists ;0,27;1,57
2611;Lawyers;0,27;0,61
6320;Subsistence livestock farmers;0,27;NA
8111;Miners and quarriers;0,27;NA
8181;Glass and ceramics plant operators;0,27;(-9.71)
1212;Human resource managers;0,26;1,56
2212;Specialist medical practitioners ;0,26;3,16
3422;Sports coaches, instructors and officials;0,26;0,1
5141;Hairdressers;0,26;-1,76
5222;Shop supervisors;0,26;-1,23
7212;Welders and flamecutters;0,26;(-4)
7315;Glass makers, cutters, grinders and finishers;0,26;(1.89)
7322;Printers ;0,26;(-3.05)
7534;Upholsterers and related workers;0,26;NA
8112;Mineral and stone processing plant operators;0,26;NA
8122;Metal finishing, plating and coating machine operators;0,26;(-3.25)
9214;Garden and horticultural labourers;0,26;(-3.56)
2431;Advertising and marketing professionals;0,25;0,03
2521;Database designers and administrators;0,25;(1.94)
2621;Archivists and curators;0,25;(-1.15)
3351;Customs and border inspectors;0,25;(0.09)
3352;Government tax and excise officials;0,25;(-0.53)
3423;Fitness and recreation instructors and program leaders;0,25;(0.88)
4224;Hotel receptionists;0,25;(8.28)
7531;Tailors, dressmakers, furriers and hatters;0,25;-2,34
8142;Plastic products machine operators;0,25;(-1.04)
9212;Livestock farm labourers;0,25;NA
1341;Child care services managers;0,24;1,08
2641;Authors and related writers;0,24;(2.96)
3354;Government licensing officials;0,24;(5.2)
4221;Travel consultants and clerks;0,24;-0,97
5211;Stall and market salespersons;0,24;0,45
5243;Door to door salespersons;0,24;NA
9520;Street vendors (excluding food);0,24;NA
2250;Veterinarians;0,23;(0.77)
2265;Dieticians and nutritionists;0,23;(0.01)
2514;Applications programmers;0,23;(1.57)
2612;Judges;0,23;(2.06)
2619;Legal professionals not elsewhere classified;0,23;-0,35
2642;Journalists;0,23;-0,75
3154;Air traffic controllers;0,23;(2.08)
3254;Dispensing opticians;0,23;(-0.01)
3355;Police inspectors and detectives;0,23;(0.29)
4110;General office clerks;0,23;-0,49
5132;Bartenders;0,23;-0,94
6330;Subsistence mixed crop and livestock farmers;0,23;NA
7223;Metal working machine tool setters and operators;0,23;-2,39
9213;Mixed crop and livestock farm labourers;0,23;NA
1344;Social welfare managers;0,22;(2.24)
3133;Chemical processing plant controllers;0,22;NA
5412;Police officers;0,22;-1,12
7224;Metal polishers, wheel grinders and tool sharpeners;0,22;(-2.69)
9612;Refuse sorters;0,22;NA
2211;Generalist medical practitioners ;0,21;(4.86)
2221;Nursing professionals;0,21;(-1.62)
2263;Environmental and occupational health and hygiene professionals;0,21;NA
2423;Personnel and careers professionals;0,21;1,07
2654;Film, stage and related directors and producers;0,21;(1.05)
3222;Midwifery associate professionals;0,21;(4.95)
3230;Traditional and complementary medicine associate professionals;0,21;NA
3353;Government social benefits officials;0,21;(0.26)
5153;Building caretakers;0,21;-0,17
5245;Service station attendants;0,21;(0.9)
7323;Print finishing and binding workers;0,21;(-1.73)
7521;Wood treaters;0,21;NA
8143;Paper products machine operators;0,21;(-1.29)
8344;Lifting truck operators;0,21;(-3.5)
9122;Vehicle cleaners;0,21;(2.37)
9211;Crop farm labourers;0,21;NA
9321;Hand packers;0,21;(-0.1)
3321;Insurance representatives;0,2;-0,1
4415;Filing and copying clerks;0,2;(3.25)
5223;Shop sales assistants;0,2;-1,46
2330;Secondary education teachers;0,19;0,28
3255;Physiotherapy technicians and assistants;0,19;-1,59
3435;Other artistic and cultural associate professionals;0,19;(-2.32)
8141;Rubber products machine operators;0,19;NA
8157;Laundry machine operators;0,19;(-2.31)
8183;Packing, bottling and labelling machine operators;0,19;-1,3
9112;Cleaners and helpers in offices, hotels and other establishments;0,19;-1,78
9329;Manufacturing labourers not elsewhere classified;0,19;NA
1342;Health services managers;0,18;1,75
2266;Audiologists and speech therapists;0,18;(-0.25)
3431;Photographers;0,18;(-0.78)
5249;Sales workers not elsewhere classified;0,18;NA
6310;Subsistence crop farmers;0,18;NA
7318;Handicraft workers in textile, leather and related materials;0,18;NA
7536;Shoemakers and related workers;0,18;(-1.65)
8219;Assemblers not elsewhere classified;0,18;NA
2269;Health professionals not elsewhere classified;0,17;0,85
2341;Primary school teachers;0,17;0,38
2656;Announcers on radio, television and other media;0,17;NA
4312;Statistical, finance and insurance clerks;0,17;-0,06
5113;Travel guides;0,17;(3.24)
7523;Woodworking-machine tool setters and operators;0,17;(-0.78)
8160;Food and related products machine operators;0,17;-1,24
8171;Pulp and papermaking plant operators;0,17;(-3.47)
8212;Electrical and electronic equipment assemblers;0,17;NA
9121;Hand launderers and pressers;0,17;(-7.68)
9411;Fast food preparers;0,17;NA
2352;Special needs teachers;0,16;2,24
2643;Translators, interpreters and other linguists;0,16;-1,42
3411;Legal and related associate professionals;0,16;-0,64
4214;Debt-collectors and related workers;0,16;NA
4313;Payroll clerks;0,16;(0.44)
5246;Food service counter attendants;0,16;NA
8121;Metal processing plant operators;0,16;(-2.37)
2240;Paramedical practitioners;0,15;NA
2353;Other language teachers;0,15;NA
2634;Psychologists;0,15;1,27
3313;Accounting associate professionals;0,15;0,34
3333;Employment agents and contractors;0,15;(1.65)
4311;Accounting and bookkeeping clerks;0,15;0,16
5414;Security guards;0,15;-0,58
8189;Stationary plant and machine operators not elsewhere classified;0,15;NA
9111;Domestic cleaners and helpers;0,15;-0,6
9412;Kitchen helpers;0,15;(0.63)
1222;Advertising and public relations managers;0,14;(2.59)
2354;Other music teachers;0,14;NA
2355;Other arts teachers;0,14;(1.89)
3135;Metal production process controllers;0,14;NA
3511;Information and communications technology operations technicians;0,14;(-0.89)
3521;Broadcasting and audio-visual technicians;0,14;(-0.41)
4222;Contact centre information clerks;0,14;NA
5311;Child care workers;0,14;-0,44
7211;Metal moulders and coremakers;0,14;NA
7535;Pelt dressers, tanners and fellmongers;0,14;NA
8132;Photographic products machine operators;0,14;NA
3259;Health associate professionals not elsewhere classified;0,13;NA
3212;Medical and pathology laboratory technicians ;0,12;0,77
4132;Data entry clerks;0,12;NA
4223;Telephone switchboard operators;0,12;(-2.45)
5230;Cashiers and ticket clerks;0,12;-1,89
7132;Spray painters and varnishers;0,12;(-3.41)
8172;Wood processing plant operators;0,12;NA
3343;Administrative and executive secretaries;0,11;0,31
4211;Bank tellers and related clerks;0,11;-0,14
4212;Bookmakers, croupiers and related gaming workers;0,11;NA
4413;Coding, proof-reading and related clerks;0,11;(-0.78)
2652;Musicians, singers and composers;0,1;1,38
4120;Secretaries (general);0,1;-0,91
4225;Enquiry clerks;0,1;NA
4226;Receptionists (general);0,1;-0,66
5244;Contact centre salespersons;0,1;(-6.2)
5322;Home-based personal care workers;0,1;-0,07
7514;Fruit, vegetable and related preservers;0,1;NA
8151;Fibre preparing, spinning and winding machine operators;0,1;NA
9624;Water and firewood collectors;0,1;NA
2166;Graphic and multimedia designers;0,09;-0,1
2342;Early childhood educators;0,09;-0,84
4411;Library clerks;0,09;(0.64)
5241;Fashion and other models;0,09;NA
2635;Social work and counselling professionals;0,08;0,28
2653;Dancers and choreographers;0,08;(2.82)
3240;Veterinary technicians and assistants;0,08;(-0.44)
2262;Pharmacists;0,07;1,83
3256;Medical assistants;0,07;-0,19
4321;Stock clerks;0,07;-2,41
5413;Prison guards;0,07;(0.88)
7321;Pre-press technicians;0,07;(-0.26)
8152;Weaving and knitting machine operators;0,07;(-3.41)
9621;Messengers, package deliverers and luggage porters;0,07;-1,61
2655;Actors;0,06;(-1.66)
3342;Legal secretaries;0,06;-1
5164;Pet groomers and animal care workers;0,06;0,3
3412;Social work associate professionals;0,05;1,16
4131;Typists and word processing operators;0,05;NA
9331;Hand and pedal vehicle drivers;0,05;NA
3213;Pharmaceutical technicians and assistants;0,04;-0,75
5329;Personal care workers in health services not elsewhere classified;0,04;-1,19
7316;Sign writers, decorative painters, engravers and etchers;0,04;(0.07)
3221;Nursing associate professionals;0,03;1,16
3251;Dental assistants and therapists;0,02;(-0.34)
3344;Medical secretaries;0;0,28
